AdmissionNo,Total_Fees,Total_Fee_Paid,Discount_Concession,Total_Due,academic_year_id
16530,31500,7750,0,23750,2
16321,31500,16000,0,15500,2
16446,31500,16000,0,15500,2
16960,31500,16000,0,15500,2
16538,31500,7750,0,23750,2
16988,31500,16000,0,15500,2
16347,31500,7750,0,23750,2
16346,31500,16000,0,15500,2
16554,31500,7750,0,23750,2
16838,31500,16000,0,15500,2
16410,31500,16000,0,15500,2
16519,31500,0,0,31500,2
16406,31500,31500,0,0,2
17121,31500,0,0,31500,2
16497,31500,7750,0,23750,2
16992,31500,16000,0,15500,2
16827,31500,16000,0,15500,2
16361,31500,16000,0,15500,2
16351,31500,16000,0,15500,2
17234,31500,7750,0,23750,2
17298,31500,31500,0,0,2
17301,31500,16000,0,15500,2
16405,32700,16600,0,16100,2
16824,32700,8050,0,24650,2
16760,32700,8050,0,24650,2
17058,32700,32700,0,0,2
16634,32700,8050,0,24650,2
16509,32700,8050,0,24650,2
16504,32700,16600,0,16100,2
17091,32700,32700,0,0,2
16204,32700,8050,0,24650,2
16540,32700,0,0,32700,2
16012,32700,8050,0,24650,2
16666,32700,16600,0,16100,2
16716,32700,16600,0,16100,2
16281,32700,0,0,32700,2
16658,32700,16600,0,16100,2
16308,32700,8050,0,24650,2
16513,32700,8050,0,24650,2
16258,32700,8050,0,24650,2
16353,32700,8050,0,24650,2
16395,32700,8050,0,24650,2
16683,32700,8050,0,24650,2
16542,32700,16600,0,16100,2
16102,32700,8050,0,24650,2
16620,32700,16600,0,16100,2
16500,32700,32200,500,0,2
16704,32700,16600,0,16100,2
16449,32700,8050,0,24650,2
16549,32700,0,0,32700,2
16268,32700,8050,0,24650,2
16139,32700,8050,0,24650,2
16112,32700,16600,0,16100,2
17290,32700,16600,0,16100,2
17320,32700,8050,0,24650,2
16659,32700,32700,0,0,2
16128,32700,8050,0,24650,2
17064,32700,16600,0,16100,2
16686,32700,16600,0,16100,2
16283,32700,16600,0,16100,2
16341,32700,8050,0,24650,2
16674,32700,8050,0,24650,2
17020,32700,16600,0,16100,2
16015,32700,8050,0,24650,2
16344,32700,24650,0,8050,2
16381,32700,16600,0,16100,2
16156,32700,8050,0,24650,2
16822,32700,8050,0,24650,2
16262,32700,8050,0,24650,2
16140,32700,0,0,32700,2
17059,32700,16600,0,16100,2
16380,32700,8050,0,24650,2
15835,32700,16600,0,16100,2
16479,32700,8050,0,24650,2
17128,32700,8050,0,24650,2
16818,32700,0,0,32700,2
17071,32700,16600,0,16100,2
16276,32700,16600,0,16100,2
16570,32700,8050,0,24650,2
16356,32700,8050,0,24650,2
17039,32700,16600,0,16100,2
16343,32700,8050,0,24650,2
16100,32700,16600,0,16100,2
17032,32700,16600,0,16100,2
17132,32700,16600,0,16100,2
17203,32700,16600,0,16100,2
17251,32700,24650,0,8050,2
17265,32700,8050,0,24650,2
17340,32700,8050,0,24650,2
16205,32700,16600,0,16100,2
16905,32700,0,0,32700,2
16316,32700,16600,0,16100,2
16374,32700,16600,0,16100,2
16107,32700,16600,0,16100,2
16259,32700,8050,0,24650,2
16386,32700,16600,0,16100,2
16025,32700,0,0,32700,2
16300,32700,16600,0,16100,2
16248,32700,8050,0,24650,2
16900,32700,16600,0,16100,2
16142,32700,16600,0,16100,2
16190,32700,8050,0,24650,2
17028,32700,16600,0,16100,2
16282,32700,8050,0,24650,2
16265,32700,16600,0,16100,2
16354,32700,16600,0,16100,2
16694,32700,16600,0,16100,2
16146,32700,16600,0,16100,2
16557,32700,8050,0,24650,2
16855,32700,8050,0,24650,2
16355,32700,0,0,32700,2
16360,32700,16600,0,16100,2
16868,32700,8050,0,24650,2
16668,32700,16600,0,16100,2
16376,32700,16600,0,16100,2
16437,32700,8050,0,24650,2
16447,32700,16600,0,16100,2
17135,32700,0,0,32700,2
17227,32700,16600,0,16100,2
17240,32700,16600,0,16100,2
17268,32700,16600,0,16100,2
17339,32700,8050,0,24650,2
17346,32700,0,0,32700,2
16424,32700,8050,0,24650,2
16552,32700,16600,0,16100,2
16482,32700,16600,0,16100,2
16306,32700,16600,0,16100,2
16560,32700,0,0,32700,2
16179,32700,16600,0,16100,2
16422,32700,16600,0,16100,2
16717,32700,16600,0,16100,2
16162,32700,8050,0,24650,2
16600,32700,8050,0,24650,2
16442,32700,16600,0,16100,2
16400,32700,24650,0,8050,2
16665,32700,0,0,32700,2
16808,32700,16600,0,16100,2
16702,32700,16600,0,16100,2
16682,32700,8050,0,24650,2
16690,32700,16600,0,16100,2
16622,32700,8050,0,24650,2
16336,32700,8050,0,24650,2
16200,32700,16600,0,16100,2
16370,32700,8050,0,24650,2
16358,32700,8050,0,24650,2
17084,32700,32200,500,0,2
16379,32700,8050,0,24650,2
16719,32700,8050,0,24650,2
16833,32700,16600,0,16100,2
16299,32700,16600,0,16100,2
16148,32700,8050,0,24650,2
16337,32700,16600,0,16100,2
17060,32700,32200,500,0,2
16660,32700,16600,0,16100,2
17147,32700,16600,0,16100,2
16298,32700,16600,0,16100,2
17370,32700,16600,0,16100,2
16034,32700,8050,0,24650,2
16020,32700,8050,0,24650,2
15979,32700,16600,0,16100,2
15830,32700,8050,0,24650,2
15711,32700,32700,0,0,2
16135,32700,8050,0,24650,2
16550,32700,8050,0,24650,2
16138,32700,8050,0,24650,2
16888,32700,8050,0,24650,2
16016,32700,8050,0,24650,2
16003,32700,8050,0,24650,2
16389,32700,8050,0,24650,2
15793,32700,8050,0,24650,2
15946,32700,16600,0,16100,2
16047,32700,16600,0,16100,2
16789,32700,16600,0,16100,2
16218,32700,8050,0,24650,2
16127,32700,16600,0,16100,2
16028,32700,8050,0,24650,2
16373,32700,16600,0,16100,2
16429,32700,8050,0,24650,2
16418,32700,16600,0,16100,2
16317,32700,8050,0,24650,2
16501,32700,8050,0,24650,2
15911,32700,16600,0,16100,2
15855,32700,8050,0,24650,2
16269,32700,16600,0,16100,2
16233,32700,16600,0,16100,2
16273,32700,8050,0,24650,2
17100,32700,16600,0,16100,2
16010,32700,8050,0,24650,2
15825,32700,16600,0,16100,2
16730,32700,16600,0,16100,2
16731,32700,16600,0,16100,2
17027,32700,8050,0,24650,2
16492,32700,8050,0,24650,2
16587,32700,32200,500,0,2
16063,32700,8050,0,24650,2
17184,32700,16600,0,16100,2
17362,32700,8050,0,24650,2
16795,32700,16600,0,16100,2
16009,32700,16600,0,16100,2
16889,32700,8050,0,24650,2
16774,32700,8050,0,24650,2
15924,32700,8050,0,24650,2
16884,32700,0,0,32700,2
16143,32700,16600,0,16100,2
16757,32700,16600,0,16100,2
16404,32700,0,0,32700,2
16763,32700,8050,0,24650,2
16035,32700,16600,0,16100,2
16290,32700,8050,0,24650,2
15992,32700,8050,0,24650,2
16314,32700,0,0,32700,2
16458,32700,16600,0,16100,2
17031,32700,8050,0,24650,2
16005,32700,16600,0,16100,2
16160,32700,8050,0,24650,2
16134,32700,16600,0,16100,2
16469,32700,8050,0,24650,2
16433,32700,16600,0,16100,2
16295,32700,8050,0,24650,2
16480,32700,8050,0,24650,2
16224,32700,8050,0,24650,2
16990,32700,16600,0,16100,2
15868,32700,16600,0,16100,2
15943,32700,8050,0,24650,2
16520,32700,16600,0,16100,2
15864,32700,8050,0,24650,2
16026,32700,8050,0,24650,2
15999,32700,16600,0,16100,2
16491,32700,16600,0,16100,2
16787,32700,8050,0,24650,2
16609,32700,16600,0,16100,2
16842,32700,8050,0,24650,2
16805,32700,8050,0,24650,2
16017,32700,16600,0,16100,2
16189,32700,0,0,32700,2
16816,32700,8050,0,24650,2
16303,32700,8050,0,24650,2
16941,32700,16600,0,16100,2
16983,32700,8050,0,24650,2
16882,32700,8050,0,24650,2
16590,32700,16600,0,16100,2
16369,32700,16600,0,16100,2
15863,32700,0,0,32700,2
16813,32700,32200,500,0,2
16614,32700,8050,0,24650,2
16159,32700,8050,0,24650,2
16783,32700,8050,0,24650,2
16723,32700,16600,0,16100,2
16014,32700,0,0,32700,2
16383,32700,8050,0,24650,2
16465,32700,8050,0,24650,2
16307,32700,8050,0,24650,2
15850,32700,8050,0,24650,2
17044,32700,16600,0,16100,2
16799,32700,8050,0,24650,2
15655,32700,16600,0,16100,2
16296,32700,8050,0,24650,2
16099,32700,8050,0,24650,2
16013,32700,8050,0,24650,2
16255,32700,8050,0,24650,2
16798,32700,8050,0,24650,2
16563,32700,8050,0,24650,2
15782,32700,8050,0,24650,2
16030,32700,8050,0,24650,2
16297,32700,8050,0,24650,2
16184,32700,16600,0,16100,2
16027,32700,8050,0,24650,2
16267,32700,16600,0,16100,2
16525,32700,8050,0,24650,2
17043,32700,8050,0,24650,2
15967,32700,8050,0,24650,2
15923,32700,16600,0,16100,2
16193,32700,16600,0,16100,2
17242,32700,16600,0,16100,2
17330,32700,8050,0,24650,2
mysklc,32700,0,0,32700,2
16714,32700,16600,0,16100,2
16023,32700,8050,0,24650,2
16286,32700,8050,0,24650,2
15918,32700,8050,0,24650,2
15847,32700,8050,0,24650,2
16453,32700,8050,0,24650,2
16746,32700,16600,0,16100,2
16737,32700,16600,0,16100,2
16445,32700,16600,0,16100,2
15854,32700,8050,0,24650,2
15980,32700,16600,0,16100,2
16256,32700,8050,0,24650,2
16043,32700,8050,0,24650,2
16024,32700,8050,0,24650,2
16735,32700,8050,0,24650,2
15894,32700,8050,0,24650,2
16285,32700,8050,0,24650,2
16828,32700,16600,0,16100,2
16556,32700,16600,0,16100,2
16388,32700,8050,0,24650,2
16617,32700,16600,0,16100,2
16749,32700,8050,0,24650,2
15866,32700,16600,0,16100,2
16106,32700,8050,0,24650,2
15917,32700,8050,0,24650,2
15944,32700,8050,0,24650,2
16559,32700,8050,0,24650,2
16246,32700,8050,0,24650,2
16732,32700,16600,0,16100,2
16632,32700,8050,0,24650,2
16277,32700,8050,0,24650,2
16284,32700,8050,0,24650,2
16616,32700,8050,0,24650,2
15824,32700,8050,0,24650,2
16595,32700,8050,0,24650,2
17092,32700,8050,0,24650,2
17256,32700,16600,0,16100,2
17296,32700,8050,0,24650,2
17357,32700,8050,0,24650,2
16105,33900,33400,500,0,2
16236,33900,8350,0,25550,2
16235,33900,8350,0,25550,2
16489,33900,8350,0,25550,2
15889,33900,8350,0,25550,2
15828,33900,8350,0,25550,2
17051,33900,8350,0,25550,2
16811,33900,17200,0,16700,2
15542,33900,17200,0,16700,2
16720,33900,8350,0,25550,2
15660,33900,33400,500,0,2
15549,33900,8350,0,25550,2
16120,33900,0,0,33900,2
16873,33900,8350,0,25550,2
16544,33900,8350,0,25550,2
15788,33900,8350,0,25550,2
17104,33900,17200,0,16700,2
16157,33900,8350,0,25550,2
15790,33900,17200,0,16700,2
16181,33900,8350,0,25550,2
16733,33900,17200,0,16700,2
16553,33900,8350,0,25550,2
16707,33900,17200,0,16700,2
15826,33900,8350,0,25550,2
15666,33900,17200,0,16700,2
16548,33900,8350,0,25550,2
16263,33900,0,0,33900,2
16475,33900,17200,0,16700,2
16555,33900,0,0,33900,2
17065,33900,8350,0,25550,2
15811,33900,8350,0,25550,2
15932,33900,8350,0,25550,2
17025,33900,33400,500,0,2
15762,33900,17200,0,16700,2
15888,33900,17200,0,16700,2
17098,33900,0,0,33900,2
17231,33900,33900,0,0,2
17252,33900,17200,0,16700,2
15942,33900,8350,0,25550,2
17101,33900,8350,0,25550,2
15960,33900,17200,0,16700,2
16604,33900,8350,0,25550,2
16415,33900,8350,0,25550,2
15787,33900,8350,0,25550,2
16070,33900,33400,500,0,2
15858,33900,8350,0,25550,2
15817,33900,8350,0,25550,2
16368,33900,17200,0,16700,2
16825,33900,8350,0,25550,2
16243,33900,0,0,33900,2
17021,33900,17200,0,16700,2
16472,33900,33900,0,0,2
15781,33900,17200,0,16700,2
16163,33900,17200,0,16700,2
16095,33900,17200,0,16700,2
16147,33900,8350,0,25550,2
15639,33900,8350,0,25550,2
15744,33900,33400,500,0,2
16995,33900,17200,0,16700,2
16266,33900,8350,0,25550,2
15801,33900,17200,0,16700,2
15632,33900,17200,0,16700,2
17067,33900,8350,0,25550,2
15780,33900,8350,0,25550,2
15734,33900,8350,0,25550,2
16104,33900,17200,0,16700,2
15840,33900,0,0,33900,2
16211,33900,17200,0,16700,2
15690,33900,17200,0,16700,2
17260,33900,8350,0,25550,2
17303,33900,8350,0,25550,2
17307,33900,17200,0,16700,2
17317,33900,17200,0,16700,2
17371,33900,17200,0,16700,2
16167,33900,17200,0,16700,2
17063,33900,17200,0,16700,2
16220,33900,8350,0,25550,2
16397,33900,17200,0,16700,2
16878,33900,17200,0,16700,2
16195,33900,17200,0,16700,2
15844,33900,17200,0,16700,2
15610,33900,8350,0,25550,2
15823,33900,8350,0,25550,2
15684,33900,17200,0,16700,2
15758,33900,17200,0,16700,2
16569,33900,8350,0,25550,2
16040,33900,17200,0,16700,2
16613,33900,8350,0,25550,2
17041,33900,17200,0,16700,2
15764,33900,8350,0,25550,2
15609,33900,17200,0,16700,2
16164,33900,8350,0,25550,2
15818,33900,17200,0,16700,2
15751,33900,17200,0,16700,2
15874,33900,17200,0,16700,2
17108,33900,17200,0,16700,2
16145,33900,17200,0,16700,2
15797,33900,8350,0,25550,2
15749,33900,17200,0,16700,2
17116,33900,17200,0,16700,2
16887,33900,8350,0,25550,2
16152,33900,17200,0,16700,2
16741,33900,8350,0,25550,2
15926,33900,8350,0,25550,2
17225,33900,8350,0,25550,2
17226,33900,8350,0,25550,2
17286,33900,17200,0,16700,2
17361,33900,17200,0,16700,2
17369,33900,8350,0,25550,2
15810,33900,8350,0,25550,2
16229,33900,17200,0,16700,2
16975,33900,17200,0,16700,2
16209,33900,17200,0,16700,2
16260,33900,8350,0,25550,2
16089,33900,8350,0,25550,2
15512,33900,17200,0,16700,2
15915,33900,8350,0,25550,2
15637,33900,17200,0,16700,2
16837,33900,8350,0,25550,2
15929,33900,17200,0,16700,2
15750,33900,17200,0,16700,2
15819,33900,8350,0,25550,2
15746,33900,17200,0,16700,2
15755,33900,8350,0,25550,2
15699,33900,8350,0,25550,2
16187,33900,8350,0,25550,2
17034,33900,33400,500,0,2
16443,33900,8350,0,25550,2
16599,33900,0,0,33900,2
15625,33900,33900,0,0,2
15775,33900,8350,0,25550,2
15757,33900,17200,0,16700,2
15541,33900,8350,0,25550,2
15753,33900,8350,0,25550,2
16797,33900,8350,0,25550,2
15890,33900,8350,0,25550,2
16280,33900,8350,0,25550,2
16289,33900,8350,0,25550,2
15893,33900,8350,0,25550,2
15800,33900,8350,0,25550,2
15922,33900,8350,0,25550,2
16880,33900,17200,0,16700,2
15558,33900,8350,0,25550,2
17139,33900,8350,0,25550,2
17193,33900,17200,0,16700,2
17250,33900,17200,0,16700,2
16806,33900,8350,0,25550,2
15236,33900,8350,0,25550,2
15945,33900,8350,0,25550,2
17087,33900,8350,0,25550,2
16584,33900,8350,0,25550,2
15448,33900,25550,0,8350,2
16022,33900,8350,0,25550,2
15498,33900,8350,0,25550,2
16897,33900,8350,0,25550,2
16611,33900,8350,0,25550,2
15334,33900,8350,0,25550,2
16508,33900,8350,0,25550,2
17010,33900,17200,0,16700,2
15504,33900,17200,0,16700,2
15804,33900,8350,0,25550,2
16216,33900,8350,0,25550,2
15505,33900,17200,0,16700,2
15532,33900,8350,0,25550,2
15768,33900,8350,0,25550,2
15507,33900,8350,0,25550,2
15565,33900,8350,0,25550,2
15612,33900,8350,0,25550,2
16456,33900,17200,0,16700,2
16486,33900,17200,0,16700,2
16531,33900,17200,0,16700,2
16046,33900,8350,0,25550,2
15651,33900,8350,0,25550,2
15529,33900,8350,0,25550,2
16192,33900,33400,500,0,2
15761,33900,17200,0,16700,2
16036,33900,8350,0,25550,2
16476,33900,17200,0,16700,2
15593,33900,8350,0,25550,2
15509,33900,8350,0,25550,2
16810,33900,17200,0,16700,2
16031,33900,8350,0,25550,2
17229,33900,17200,0,16700,2
17271,33900,8350,0,25550,2
17306,33900,17200,0,16700,2
17024,33900,8350,0,25550,2
15543,33900,17200,0,16700,2
15525,33900,17200,0,16700,2
15213,33900,33400,500,0,2
15831,33900,33400,500,0,2
15587,33900,8350,0,25550,2
17042,33900,8350,0,25550,2
15495,33900,8350,0,25550,2
15938,33900,17200,0,16700,2
15503,33900,17200,0,16700,2
15552,33900,0,0,33900,2
15534,33900,17200,0,16700,2
15233,33900,8350,0,25550,2
16580,33900,8350,0,25550,2
16098,33900,8350,0,25550,2
15644,33900,8350,0,25550,2
15648,33900,17200,0,16700,2
17095,33900,17200,0,16700,2
15479,33900,17200,0,16700,2
15511,33900,17200,0,16700,2
15602,33900,17200,0,16700,2
15540,33900,17200,0,16700,2
15769,33900,8350,0,25550,2
15501,33900,17200,0,16700,2
15617,33900,0,0,33900,2
17102,33900,8350,0,25550,2
16122,33900,8350,0,25550,2
15706,33900,8350,0,25550,2
16607,33900,8350,0,25550,2
16177,33900,0,0,33900,2
15347,33900,8350,0,25550,2
15520,33900,8350,0,25550,2
16432,33900,17200,0,16700,2
15861,33900,17200,0,16700,2
15544,33900,8350,0,25550,2
15282,33900,8350,0,25550,2
15215,33900,8350,0,25550,2
17338,33900,8350,0,25550,2
15218,33900,17200,0,16700,2
15531,33900,17200,0,16700,2
16802,33900,17200,0,16700,2
15631,33900,8350,0,25550,2
15522,33900,8350,0,25550,2
15677,33900,8350,0,25550,2
15394,33900,8350,0,25550,2
16481,33900,8350,0,25550,2
15584,33900,8350,0,25550,2
15523,33900,8350,0,25550,2
15618,33900,8350,0,25550,2
16096,33900,17200,0,16700,2
16528,33900,8350,0,25550,2
15539,33900,17200,0,16700,2
15267,33900,8350,0,25550,2
15344,33900,8350,0,25550,2
16537,33900,33900,0,0,2
15550,33900,8350,0,25550,2
15338,33900,8350,0,25550,2
15508,33900,17200,0,16700,2
15569,33900,8350,0,25550,2
15536,33900,8350,0,25550,2
15535,33900,8350,0,25550,2
15538,33900,8350,0,25550,2
16444,33900,8350,0,25550,2
15665,33900,8350,0,25550,2
16765,33900,33400,500,0,2
16505,33900,17200,0,16700,2
16574,33900,8350,0,25550,2
15636,33900,0,0,33900,2
15524,33900,25550,0,8350,2
15570,33900,8350,0,25550,2
16608,33900,17200,0,16700,2
15371,33900,8350,0,25550,2
15269,33900,8350,0,25550,2
16572,33900,8350,0,25550,2
17151,33900,8350,0,25550,2
17294,33900,17200,0,16700,2
17341,33900,8350,0,25550,2
15481,33900,17200,0,16700,2
16784,33900,17200,0,16700,2
15691,33900,33900,0,0,2
15771,33900,8350,0,25550,2
15546,33900,17200,0,16700,2
15459,33900,0,0,33900,2
16223,33900,17200,0,16700,2
16755,33900,8350,0,25550,2
16858,33900,8350,0,25550,2
15537,33900,8350,0,25550,2
15454,33900,0,0,33900,2
17062,33900,17200,0,16700,2
15820,33900,8350,0,25550,2
16398,33900,17200,0,16700,2
15562,33900,8350,0,25550,2
15506,33900,25550,0,8350,2
15478,33900,25550,0,8350,2
15564,33900,8350,0,25550,2
15526,33900,8350,0,25550,2
15533,33900,8350,0,25550,2
15545,33900,8350,0,25550,2
15554,33900,8350,0,25550,2
16302,33900,17200,0,16700,2
15555,33900,17200,0,16700,2
16121,33900,8350,0,25550,2
15567,33900,8350,0,25550,2
16430,33900,8350,0,25550,2
15499,33900,17200,0,16700,2
15396,33900,33400,500,0,2
16859,33900,8350,0,25550,2
15573,33900,8350,0,25550,2
15513,33900,8350,0,25550,2
15553,33900,8350,0,25550,2
15613,33900,8350,0,25550,2
17069,33900,8350,0,25550,2
15517,33900,8350,0,25550,2
16697,33900,17200,0,16700,2
17302,33900,8350,0,25550,2
17343,33900,17200,0,16700,2
16772,35100,17800,0,17300,2
15237,35100,17800,0,17300,2
15322,35100,8650,0,26450,2
15270,35100,8650,0,26450,2
15013,35100,8650,0,26450,2
15367,35100,0,0,35100,2
15408,35100,8650,0,26450,2
14889,35100,17800,0,17300,2
16274,35100,8650,0,26450,2
15341,35100,8650,0,26450,2
15258,35100,8650,0,26450,2
15774,35100,8650,0,26450,2
16718,35100,8650,0,26450,2
15179,35100,17800,0,17300,2
15477,35100,17800,0,17300,2
16579,35100,17800,0,17300,2
15187,35100,8650,0,26450,2
15490,35100,17800,0,17300,2
15235,35100,17800,0,17300,2
15802,35100,8650,0,26450,2
15262,35100,8650,0,26450,2
15343,35100,8650,0,26450,2
15398,35100,8650,0,26450,2
17107,35100,8650,0,26450,2
15405,35100,8650,0,26450,2
15594,35100,17800,0,17300,2
16615,35100,8650,0,26450,2
15795,35100,8650,0,26450,2
15919,35100,8650,0,26450,2
15357,35100,17800,0,17300,2
17117,35100,8650,0,26450,2
16752,35100,8650,0,26450,2
15708,35100,35100,0,0,2
16221,35100,8650,0,26450,2
15335,35100,8650,0,26450,2
16203,35100,8650,0,26450,2
16895,35100,8650,0,26450,2
17279,35100,26450,0,8650,2
16499,35100,34600,500,0,2
15261,35100,8650,0,26450,2
15325,35100,17800,0,17300,2
15410,35100,17800,0,17300,2
15199,35100,17800,0,17300,2
15898,35100,8650,0,26450,2
15214,35100,8650,0,26450,2
15212,35100,17800,0,17300,2
15765,35100,8650,0,26450,2
15009,35100,8650,0,26450,2
15220,35100,8650,0,26450,2
16175,35100,17800,0,17300,2
15318,35100,17800,0,17300,2
15191,35100,8650,0,26450,2
15231,35100,8650,0,26450,2
16210,35100,17800,0,17300,2
14938,35100,17800,0,17300,2
15271,35100,0,0,35100,2
15186,35100,17800,0,17300,2
16886,35100,8650,0,26450,2
16076,35100,8650,0,26450,2
15240,35100,8650,0,26450,2
14895,35100,17800,0,17300,2
15464,35100,8650,0,26450,2
15078,35100,17800,0,17300,2
15185,35100,8650,0,26450,2
16761,35100,8650,0,26450,2
17081,35100,17800,0,17300,2
14976,35100,17800,0,17300,2
16041,35100,17800,0,17300,2
16745,35100,17800,0,17300,2
16182,35100,8650,0,26450,2
16155,35100,17800,0,17300,2
15302,35100,8650,0,26450,2
15324,35100,34600,500,0,2
16894,35100,8650,0,26450,2
17257,35100,17800,0,17300,2
17293,35100,17800,0,17300,2
16839,35100,17800,0,17300,2
15796,35100,8650,0,26450,2
15196,35100,17800,0,17300,2
15219,35100,17800,0,17300,2
15242,35100,8650,0,26450,2
15257,35100,17800,0,17300,2
17054,35100,17800,0,17300,2
15048,35100,34600,500,0,2
16056,35100,8650,0,26450,2
16375,35100,8650,0,26450,2
15252,35100,8650,0,26450,2
15200,35100,8650,0,26450,2
14915,35100,17800,0,17300,2
15370,35100,8650,0,26450,2
15204,35100,8650,0,26450,2
15614,35100,8650,0,26450,2
15622,35100,8650,0,26450,2
16788,35100,8650,0,26450,2
15348,35100,8650,0,26450,2
15368,35100,17800,0,17300,2
15039,35100,17800,0,17300,2
15209,35100,8650,0,26450,2
15869,35100,35100,0,0,2
16726,35100,8650,0,26450,2
16313,35100,0,0,35100,2
15224,35100,17800,0,17300,2
15404,35100,8650,0,26450,2
16239,35100,8650,0,26450,2
16621,35100,17800,0,17300,2
15595,35100,8650,0,26450,2
15713,35100,8650,0,26450,2
15225,35100,0,0,35100,2
16872,35100,8650,0,26450,2
15310,35100,0,0,35100,2
17134,35100,0,0,35100,2
15832,35100,34600,500,0,2
17356,35100,8650,0,26450,2
15859,35100,8650,0,26450,2
15174,35100,8650,0,26450,2
15217,35100,8650,0,26450,2
15234,35100,8650,0,26450,2
15321,35100,8650,0,26450,2
14892,35100,17800,0,17300,2
16796,35100,8650,0,26450,2
15880,35100,17800,0,17300,2
16603,35100,8650,0,26450,2
16785,35100,8650,0,26450,2
14859,35100,17800,0,17300,2
15255,35100,8650,0,26450,2
15365,35100,8650,0,26450,2
15226,35100,17800,0,17300,2
15163,35100,0,0,35100,2
16060,35100,8650,0,26450,2
16893,35100,8650,0,26450,2
14905,35100,8650,0,26450,2
16801,35100,17800,0,17300,2
15047,35100,17800,0,17300,2
15393,35100,8650,0,26450,2
15392,35100,8650,0,26450,2
16782,35100,8650,0,26450,2
15197,35100,35100,0,0,2
14969,35100,8650,0,26450,2
15379,35100,8650,0,26450,2
16231,35100,17800,0,17300,2
15901,35100,17800,0,17300,2
15155,35100,17800,0,17300,2
16564,35100,17800,0,17300,2
15416,35100,17800,0,17300,2
15208,35100,17800,0,17300,2
15195,35100,17800,0,17300,2
15201,35100,8650,0,26450,2
17035,35100,8650,0,26450,2
17149,35100,8650,0,26450,2
17308,35100,8650,0,26450,2
17061,43500,10750,0,32750,2
17115,43500,22000,0,21500,2
16455,43500,22000,0,21500,2
15004,43500,22000,0,21500,2
14906,43500,10750,0,32750,2
16874,43500,10750,0,32750,2
14925,43500,10750,0,32750,2
15076,43500,10750,0,32750,2
15003,43500,11250,0,32250,2
16191,43500,22000,0,21500,2
17070,43500,22000,0,21500,2
14888,43500,10750,0,32750,2
15119,43500,10750,0,32750,2
15014,43500,0,0,43500,2
14965,43500,10750,0,32750,2
15116,43500,10750,0,32750,2
14896,43500,10750,0,32750,2
14886,43500,22000,0,21500,2
16871,43500,10750,0,32750,2
16292,43500,10750,0,32750,2
15572,43500,22000,0,21500,2
14997,43500,10750,0,32750,2
15089,43500,10750,0,32750,2
15038,43500,10750,0,32750,2
14970,43500,10750,0,32750,2
14932,43500,22000,0,21500,2
14968,43500,22000,0,21500,2
17040,43500,10750,0,32750,2
15603,43500,10750,0,32750,2
14881,43500,43500,0,0,2
15599,43500,10750,0,32750,2
14987,43500,10750,0,32750,2
14864,43500,10750,0,32750,2
16725,43500,10750,0,32750,2
14975,43500,10750,0,32750,2
16457,43500,22000,0,21500,2
15355,43500,10750,0,32750,2
15899,43500,0,0,43500,2
15990,43500,10750,0,32750,2
16052,43500,22000,0,21500,2
17144,43500,10750,0,32750,2
17259,43500,10750,0,32750,2
17336,43500,10750,0,32750,2
15645,43500,10750,0,32750,2
14963,43500,10750,0,32750,2
16906,43500,10750,0,32750,2
15583,43500,10750,0,32750,2
14989,43500,10750,0,32750,2
16883,43500,0,0,43500,2
15278,43500,43500,0,0,2
14955,43500,22000,0,21500,2
15308,43500,22000,0,21500,2
14848,43500,22000,0,21500,2
16817,43500,22000,0,21500,2
14988,43500,22000,0,21500,2
16860,43500,10750,0,32750,2
15444,43500,10750,0,32750,2
15988,43500,0,0,43500,2
16629,43500,10750,0,32750,2
15085,43500,0,0,43500,2
15158,43500,10750,0,32750,2
14872,43500,10750,0,32750,2
14861,43500,10750,0,32750,2
15837,43500,10750,0,32750,2
14902,43500,10750,0,32750,2
14499,43500,10750,0,32750,2
15300,43500,0,0,43500,2
14937,43500,10750,0,32750,2
14497,43500,43000,500,0,2
15896,43500,10750,0,32750,2
16527,43500,10750,0,32750,2
14693,43500,10750,0,32750,2
14733,43500,22000,0,21500,2
15041,43500,10750,0,32750,2
16578,43500,22000,0,21500,2
14875,43500,10750,0,32750,2
16546,43500,10750,0,32750,2
14990,43500,22000,0,21500,2
16067,43500,10750,0,32750,2
15623,43500,10750,0,32750,2
14949,43500,22000,0,21500,2
14669,43500,22000,0,21500,2
16168,43500,22000,0,21500,2
16879,43500,22000,0,21500,2
17202,43500,22000,0,21500,2
17266,43500,22000,0,21500,2
16870,43500,10750,0,32750,2
16461,43500,22000,0,21500,2
15664,43500,0,0,43500,2
14869,43500,10750,0,32750,2
14883,43500,22000,0,21500,2
15305,43500,22000,0,21500,2
14953,43500,10750,0,32750,2
14919,43500,22000,0,21500,2
14874,43500,0,0,43500,2
15611,43500,10750,0,32750,2
17019,43500,32750,0,10750,2
15088,43500,10750,0,32750,2
14862,43500,10750,0,32750,2
14879,43500,0,0,43500,2
14645,43500,0,0,43500,2
14946,43500,10750,0,32750,2
15026,43500,22000,0,21500,2
15400,43500,22000,0,21500,2
15301,43500,22000,0,21500,2
14877,43500,10750,0,32750,2
14867,43500,43000,500,0,2
14944,43500,10750,0,32750,2
15019,43500,43000,500,0,2
17030,43500,10750,0,32750,2
15222,43500,22000,0,21500,2
